SubSite,Site,Distance,Size,ForestDistance,SeedAbundance,SeedRichness,SizeFactor
1.1,1,20,53621,407,26,2,Large
1.2,1,40,53621,407,6,1,Large
1.3,1,60,53621,407,11,1,Large
1.4,1,80,53621,407,0,0,Large
1.5,1,100,53621,407,0,0,Large
2.1,2,20,NA,20,5,1,Forest
2.2,2,40,NA,40,12,2,Forest
2.3,2,60,NA,60,0,0,Forest
2.4,2,80,NA,80,11,1,Forest
2.5,2,100,NA,100,5,2,Forest
3.1,3,20,7961,1027,4,1,Small
3.2,3,40,7961,1027,11,1,Small
3.3,3,60,7961,1027,6,2,Small
3.4,3,80,7961,1027,0,0,Small
3.5,3,100,7961,1027,0,0,Small
4.1,4,20,NA,20,62,3,Forest
4.2,4,40,NA,40,42,5,Forest
4.3,4,60,NA,60,17,4,Forest
4.4,4,80,NA,80,9,2,Forest
4.5,4,100,NA,100,0,0,Forest
5.1,5,20,10732,351,3,1,Small
5.2,5,40,10732,351,0,0,Small
5.3,5,60,10732,351,0,0,Small
5.4,5,80,10732,351,0,0,Small
5.5,5,100,10732,351,0,0,Small
6.1,6,20,31471,1291,0,0,Large
6.2,6,40,31471,1291,0,0,Large
6.3,6,60,31471,1291,0,0,Large
6.4,6,80,31471,1291,0,0,Large
6.5,6,100,31471,1291,0,0,Large
7.1,7,20,11739,200,9,3,Small
7.2,7,40,11739,200,2,1,Small
7.3,7,60,11739,200,56,2,Small
7.4,7,80,11739,200,130,8,Small
7.5,7,100,11739,200,94,8,Small
8.1,8,20,73395,915,4,2,Large
8.2,8,40,73395,915,8,3,Large
8.3,8,60,73395,915,0,0,Large
8.4,8,80,73395,915,0,0,Large
8.5,8,100,73395,915,4,1,Large
